time,open,high,low,close,volume,volume ma,rsi,histogram,macd,signal
1258986600,7.249993,7.357136,7.248207,7.35285,475175256,499735086.8,61.432579394102,-0.00251455628267722,0.128535316729559,0.131049873012237
1259073000,7.333207,7.35285,7.246421,7.301421,318437092,477829396.4,58.908888733985,-0.00420150827805216,0.125797987664671,0.129999495942723
1259159400,7.335707,7.344635,7.277135,7.292493,286649528,451242587.2,58.4599094599754,-0.00679355179281874,0.1215075562017,0.128301107994519
1259332200,7.114993,7.248565,7.084636,7.163921,295257240,437485001.6,52.2803075557073,-0.0174369266242807,0.106504949714168,0.123941876338449
1259591400,7.182493,7.20285,7.098921,7.139636,424856128,422851596.2,51.1798389277659,-0.0258736816593749,0.0915997742642301,0.117473455923605
1259677800,7.22285,7.241778,7.029636,7.034636,465762740,412160265.8,46.6114025772888,-0.0375771728962518,0.0705019898032901,0.108079162699542
1259764200,7.105708,7.193564,6.991064,7.008207,715259592,421796128.2,45.5102339070154,-0.0456148111055406,0.0510606488176162,0.0966754599231568
1259850600,7.050707,7.106421,7.009636,7.017136,448718704,419844935.2,45.9746062979374,-0.0485729870413117,0.0359592261215171,0.0845322131628289
1259937000,7.132118,7.138564,6.795707,6.904279,827107384,441954124,41.1958461141756,-0.0558537723017976,0.0147149977855818,0.0705687700873795
1260196200,6.904279,6.92035,6.738564,6.748208,714759176,462930594.2,35.673525205974,-0.0680927290289582,-0.0145471411988183,0.0535455878301399
1260282600,6.76285,6.869636,6.739279,6.781065,690397808,471007728.6,37.5708683633495,-0.0705856445471888,-0.0346864678538461,0.0358991766933427
1260369000,6.831422,7.077136,6.796779,7.064279,684781228,485187094,50.9897068861661,-0.0507011696747138,-0.0274772854000496,0.0232238842746643
1260455400,7.124993,7.132136,7.004279,7.01535,489668968,487466618.2,49.0289813360843,-0.0389143891496981,-0.0254191021624584,0.0134952869872397
1260541800,7.063564,7.071422,6.908207,6.952493,429773968,490759526.6,46.5524229256711,-0.0336211277323235,-0.0285311226781646,0.00509000505415887
1260801000,6.977493,7.051064,6.877136,7.034993,495789100,498382411,50.1141303026202,-0.0233223862909447,-0.024062977809522,-0.000740591518577316
1260887400,6.993922,7.053921,6.902493,6.934636,419714172,495107887.4,46.0904832310636,-0.0220425341037187,-0.0282937591482257,-0.006251225044507
1260973800,6.967851,7.01785,6.948207,6.96535,353119076,492938208.6,47.4802930306962,-0.0180677545343729,-0.0288359182124731,-0.0107681636781002
1261060200,6.93785,6.964279,6.821422,6.852136,388836612,493664049.2,43.0723411311156,-0.0217561798550043,-0.0379633884968555,-0.0162072086418513
1261146600,6.898922,6.982243,6.878565,6.979636,608770784,496986263.8,48.8334290398603,-0.0146430083266641,-0.0345109690501815,-0.0198679607235173
1261405800,7.001779,7.133921,6.988207,7.079636,612373156,507260385.6,52.8626479123728,-0.0028541007376027,-0.0234355866455207,-0.020581485907918
1261492200,7.12285,7.173207,7.094993,7.155707,349514492,500977347.4,55.719272085519,0.00972688580960697,-0.00842287864590929,-0.0181497644555163
1261578600,7.187493,7.22785,7.171779,7.21785,345524292,502331707.4,57.9605843534479,0.0212337940368068,0.00839247809049226,-0.0128413159463146
1261665000,7.269636,7.476779,7.262493,7.465706,500888244,513043643.2,65.468153249069,0.0432676533266497,0.0412432507119975,-0.00202440261465214
1262010600,7.561421,7.641064,7.486099,7.557492,644564676,530509015,67.7640128216622,0.060685911762325,0.0738329870882541,0.0131470753259291
1262097000,7.593921,7.597135,7.454635,7.46785,445204700,531526443.6,63.3351703257224,0.0625814805326353,0.0913739259917232,0.0287924454590879
1262183400,7.458207,7.571421,7.439635,7.558564,412083188,528842466,65.7730212677998,0.0660156220203799,0.111311972984563,0.0452963509641829
1262269800,7.611778,7.619636,7.519992,7.526135,352411096,510700041.2,64.1314031341476,0.0622249261771988,0.123077508685681,0.0608525825084826
1262615400,7.622492,7.660707,7.584992,7.643206,493728748,512950543.4,67.3040302172453,0.0635034743504543,0.140231925446551,0.0767284510960962
1262701800,7.664278,7.699635,7.616064,7.656421,601904728,501690410.6,67.6518518469259,0.0611197183007686,0.153128098972057,0.0920083806712884
1262788200,7.656421,7.686778,7.526778,7.534635,552158760,493560389.8,61.1913362164332,0.047810708711558,0.151771766560736,0.103961057849178
1262874600,7.562492,7.571421,7.466064,7.520707,477129884,482896993.6,60.4799993050567,0.0351259174436471,0.147868454653737,0.11274253721009
1262961000,7.510707,7.571421,7.466421,7.570707,447876740,471051769.2,62.1797144388997,0.0274970083867366,0.14711379769351,0.119616789306774
1263220200,7.599992,7.607135,7.444635,7.503921,462229920,469679816.8,58.5569683681559,0.0159212674391068,0.139518373605657,0.12359710616655
1263306600,7.471064,7.491778,7.372135,7.418564,594459856,477914111.2,54.2098101200544,0.00125710256990239,0.125168484378928,0.123911381809026
1263393000,7.423921,7.533206,7.289279,7.523206,605890140,483419163.2,58.297179325312,-0.00245167971015567,0.120846782171332,0.123298461881487
1263479400,7.503921,7.516421,7.464993,7.479635,433154076,484091158.4,56.0535518960348,-0.00855243946219716,0.112607912553741,0.121160352015938
1263565800,7.533206,7.557136,7.352493,7.354635,594337104,496152059.8,50.0967896868186,-0.0210097482536383,0.09489816669889,0.115907914952528
1263911400,7.44035,7.685349,7.401422,7.679992,730007320,513210595.2,61.5502247353261,-0.00800956903454475,0.105895953659347,0.113905522693892
1263997800,7.675349,7.698207,7.482135,7.5616,612152292,513379670.6,56.4711909172136,-0.00803538947381561,0.103861285851623,0.111896675325438
1264084200,7.574278,7.618342,7.40035,7.431136,608154784,513168752,51.4343552927335,-0.0169763931529127,0.0906761838842973,0.10765257703721
1264170600,7.384993,7.410707,7.041422,7.062493,881768368,539781445.8,40.4544793575403,-0.0461978935002251,0.0499052101619286,0.0961031036621537
1264429800,7.232492,7.310707,7.149636,7.252671,1065700328,575790247.6,46.7677956883038,-0.0508310318698079,0.0325643138248939,0.0833953456947018
1264516200,7.35535,7.632493,7.234993,7.354993,1867111752,644101423,49.848739208079,-0.045300695006921,0.0267694769360505,0.0720701719429715
1264602600,7.387493,7.520707,7.1261,7.424421,1722569784,698001678.4,51.8836810392112,-0.035685966950668,0.0274627132546366,0.0631486802053045
1264689000,7.318921,7.339278,7.096421,7.117493,1173502676,734416577.2,43.4836211051704,-0.047952066701064,0.00320859682897456,0.0511606635300385
